name,名称,18:1 オレイン酸(mg),18:2 n-6 リノール酸(mg),18:3 n-3 α－リノレン酸(mg),18:3 n-6 γ－リノレン酸(mg),18:4 n-3 オクタデカテトラエン酸(mg),20:2 n-6 イコサジエン酸(mg),20:3 n-6 イコサトリエン酸(mg),20:4 n-3 イコサテトラエン酸(mg),20:4 n-6 アラキドン酸(mg),20:5 n-3 イコサペンタエン酸(mg),21:5 n-3 ヘンイコサペンタエン酸(mg),22:4 n-6 ドコサテトラエン酸(mg),22:5 n-3 ドコサペンタエン酸(mg),22:5 n-6 ドコサペンタエン酸(mg),22:6 n-3 ドコサヘキサエン酸(mg),Unnamed: 73,Unnamed: 74,n-3系 多価不飽和(g),n-6系 多価不飽和(g),name,アスパラギン酸(mg),アミノ酸合計(mg),アラニン(mg),アルギニン(mg),アンモニア(mg),イソロイシン(mg),エネルギー(kcal),カリウム(mg),カルシウム(mg),クロム(μg),グリシン(mg),グルタミン酸(mg),セリン(mg),セレン(μg),タンパク質(g),トリプトファン(mg),トレオニン(スレオニン)(mg),ナイアシン(mg),ナトリウム(mg),バリン(mg),パントテン酸(mg),ヒスチジン(mg),ビオチン(μg),ビタミンA(μg),ビタミンB1(mg),ビタミンB12(μg),ビタミンB2(mg),ビタミンB6(mg),ビタミンC(mg),ビタミンD(μg),ビタミンE(mg),ビタミンK(μg),プロリン(mg),マグネシウム(mg),マンガン(mg),モリブデン(μg),ヨウ素(μg),リシン(リジン)(mg),リン(mg),ロイシン(mg),亜鉛(mg),含硫アミノ酸(mg),炭水化物(g),脂肪酸 一価不飽和(g),脂肪酸 多価不飽和(g),脂肪酸 総量(g),脂肪酸 飽和(g),脂質(g),芳香族アミノ酸(mg),葉酸(μg),鉄(mg),銅(mg),食塩相当量(g),食物繊維 総量(g)
apple_pie,アップルパイ,3266.55,596.96,77.46,,,1.08,14.35,,28.4,,,0.58,0.52,,7.6,,,0.08,0.64,,199.7,3112,99.05,119.11,124.76,113.75,330,142.28,26.02,1.43,109.05,1004.16,155.8,7.41,3.22,36.43,91.85,0.32,159.79,133.69,0.37,72.05,2.27,160.05,0.05,0.08,0.03,0.05,4.8,0.26,0.6,5.31,342.25,9.23,0.55,5.41,1.06,83.25,43.21,218.2,0.26,129.81,41.22,3.77,0.76,14.63,10.14,16.86,247.8,11.27,0.48,0.06,0.4,2.09
eggs_benedict,エッグベネディクト,7762.29,1884.08,141.32,,,32.15,21.88,,143.22,,,6.57,5.84,,87.2,,,0.22,2.12,,933.16,10019,508.67,589.97,209.61,476.74,370,155.73,49.75,0.2,340.21,1805.3,700.53,28.1,12.76,142.13,440.44,0.79,422.2,592,1.36,254.15,18.51,231.54,0.15,0.81,0.33,0.12,6.28,1.52,1.14,13.24,588.8,18.47,0.09,8.12,12.2,633.4,196.02,811.11,1.47,529.32,15.28,8.66,2.34,23.71,12.69,27.34,955.66,41.29,1.74,0.09,1.09,0.75
onion_rings,オニオンリング,14095.32,12434.49,2408.16,,,,,,,,,,,,,,,2.39,12.48,,335.66,6349.81,178.31,410.09,257.11,204.79,644,349.31,54.71,1.27,226.03,2182.5,287.79,4.23,6.64,79.47,169.86,0.6,1955.12,240.09,0.66,142.31,1.87,0.03,0.14,,0.03,0.29,14.17,,4.83,59.51,624.08,25.24,0.58,9.06,1.84,184.12,105.17,392.24,0.55,252.08,69.63,14.49,14.89,33.47,4.08,36.25,481.65,33.72,0.83,0.14,4.97,4.34
baby_back_ribs,ベビーバックリブ,7100,1900,83,,,90,16,,56,,,16,18,,10,,,0.11,2.1,,1800,19000,1100,1300,270,860,263,310,4,3,1000,2900,790,21,19.3,230,890,7.3,42,930,0.98,860,3.7,6,0.69,0.3,0.15,0.32,1,0.1,0.3,3,830,22,0.01,,1,1700,180,1500,1.6,730,0.2,7.68,2.21,17.73,7.84,19.2,1400,1,0.3,0.05,0.1,
escargots,エスカルゴ,6,7.56,1.56,,,5.76,0.6,0.12,6.84,1.56,,,0.6,,,,,0,0.02,,,,,,,,10,0.6,48,,,,,,1.98,,,,31.2,,,,,,,0.07,0.01,,,,0.07,0.6,,4.44,0.05,,,,15.6,,0.18,,0.1,0.01,0.03,0.04,0.01,0.12,,0.12,0.47,0.37,0.08,
oysters,カキ,16.6,3.6,1.8,,9,0.6,1,5.8,2.4,24,,,1.4,,14.2,,,0.06,0.01,,116,1080,72,68,26,44,12,38,17.6,0.8,74,170,50,9.6,1.32,11.6,52,0.28,104,50,0.12,26,0.9,4.4,0.01,5.62,0.03,0.02,0.6,,0.24,,58,14.8,0.08,0.8,14.6,80,20,74,2.64,44,0.94,0.04,0.06,0.16,0.05,0.28,82,8,0.38,0.18,0.26,
baklava,バクラヴァ,,,1906,,,,,,,,,,,,,,,1.91,9.21,,,4769,181,415,,190,427,101,19,0,195,,,8,4.2,60,,0.3,113,229,0.29,,1.4,53,0.06,0.1,0.05,0.08,0,0.1,1.6,18,365,26,0.54,5,1,,60,349,0.6,,43.4,6.93,11.11,,6.68,26.6,,17,0.6,0.2,0.3,1.5
falafel,ファラフェル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pad_thai,パッタイ,,,2034,,,,,,,,,,,,,,,2.11,12.41,,,36287,1956,2931,,1524,850,758,471,7,2367,,,41,38,410,,6.3,1737,1771,1.86,,17.2,56,0.24,1.5,0.3,0.39,12,0.5,6.1,70,1749,124,0.82,63,15,,461,2716,3.5,,79.9,16.17,14.52,,6.01,40.2,,78,3.9,0.78,4.4,2.6
beef_carpaccio,牛肉のカルパッチョ,13000,670,33,,,4,27,,28,,,5,,,,,,0.03,0.73,,,,,,,,347,260,3,,,,,,15.1,,,4.3,40,,1.22,,,2,0.08,1.2,0.19,0.33,1,,0.5,10,,17,,,,,150,,3.8,,0.4,15.78,0.76,26.25,9.71,29.9,,7,1.4,0.08,0.1,
filet_mignon,フィレミニョン,,,439,,,,,,,,,,,,,,,0.44,2.63,,,25124,1520,1716,,1163,340,438,8,1,1340,,,17,24.5,315,,5.6,501,1254,1.08,,3.7,34,0.15,4.4,0.32,0.42,2,0,1.2,17,1076,28,0.07,1,1,,212,2147,5.4,,2.3,9.51,3.07,,8.8,24.4,,14,3.3,0.12,1.3,1.1
paella,パエリア,2200.78,381.63,24.07,,0.59,3.87,2.49,0.26,11.67,9.72,0.56,1.44,1.73,0.8,18.11,,食塩,0.06,0.38,,444.98,4567,290.68,347.17,83.64,195.07,129,166.37,29.48,0.53,261.74,758.31,200.93,6.74,7.45,53.8,194.75,1.61,350.84,218.77,0.5,138.98,1.97,14.46,0.05,4.65,0.05,0.1,7.05,0.02,0.7,8.69,232.64,27.15,0.16,12.14,2.25,332.19,98.48,355.56,0.88,187.57,14.83,2.32,0.45,3.68,0.89,4.06,348.56,13.97,0.61,0.13,0.88,0.37
beef_tartare,タルタルステーキ,5590.83,1038.1,69.78,,,11.18,12.5,2.5,92.1,6,,4.93,12.92,,65.6,,,0.15,1.16,,265.65,2831,140.1,223.5,45.3,136.4,181,245.45,36.01,0.24,85.5,360.5,225.05,9.73,13.32,37.35,138.7,2.4,292.27,155.55,1.41,72.1,11.34,90.57,0.09,1.51,0.22,0.26,6.65,1.2,1.29,18,116.45,17.22,0.05,3.03,8.8,210.45,193.66,241.75,2.16,121.55,2.9,5.9,1.32,10.31,3.1,12.16,244.75,32.35,2.6,0.1,0.74,0.32
fish_and_chip,フィッシュアンドチップス,11236.3,9652.74,1919.48,,0.79,,,,3.19,19.18,,,1.61,,33.6,,,1.99,9.71,,1990.49,16622,926.09,1069.14,335.44,692.41,529,1183.01,83.6,10.06,884.8,2825.5,747.56,25.33,18.33,194.05,715.3,3.95,266.01,835.25,1.37,433.26,3.19,7.21,0.27,1.06,0.17,0.41,68.26,0.79,4.26,47.6,729.99,61.71,0.31,9.37,280.26,1395.01,349,1263.59,0.82,709.7,45.71,11.57,11.67,26.39,3.16,28.62,1261.6,47.88,1.03,0.24,0.69,2.88
pancakes,パンケーキ,5076,1676.79,113.59,0.99,,8.01,19.99,0.61,90.8,0.61,,3.61,5.4,3.99,50.99,,,0.17,1.79,,520.01,4800,276,312.01,72,244.01,644,389.26,188.81,5.42,164,639.99,363.99,17.59,14.64,72,232.01,0.75,562.7,307.99,1.43,124,12.78,152.99,0.15,0.65,0.34,0.1,1.5,1.06,0.94,9.44,196,22.94,0.36,15.75,16.24,356.01,310.8,400,1.16,276,101.33,5.54,1.96,17.38,9.83,20.33,480.01,30.49,1.48,0.12,1.45,1.91
beet_salad,ビーツサラダ,,,,,,,,,,,,,,,,,,,,,,,,,,,82,920,24,,,,,,3.2,,,0.6,60,,0.62,,,,0.1,,0.1,0.14,10,,0.2,,,36,0.3,,,,46,,0.6,,18.6,,,,,0.2,,220,0.8,0.18,0.2,5.4
foie_gras,フォアグラ,13000,200,,,,,,,105,,,,,,,,,,0.31,,,,,,,,255,65,1.5,,,,,,4.15,,,1.2,22,,2.19,,,500,0.14,3.8,0.41,0.15,3.5,0.45,0.15,3,,5,0.03,,,,75,,0.5,,0.75,13.72,0.31,23.18,9.16,24.95,,110,1.35,0.93,0.05,
panna_cotta,パンナコッタ,3236.35,364.79,57.4,,1.7,4.65,16.56,3.29,24.5,5.67,,,9.64,,1.02,,,0.07,0.42,,125.4,1552.5,103.33,93.16,19.76,44.33,211,88.32,48.48,0.34,211.65,223.4,66.7,1.37,2.28,9.41,48.9,0.08,20.74,62.7,0.22,25.97,0.95,141.5,0.02,0.14,0.06,0.02,10.03,0.24,0.35,5.22,161.85,5.71,0.03,7.03,6.55,84.6,43.19,90.4,0.19,34.08,14,3.71,0.51,14.14,9.93,16.19,84.2,14.86,0.09,0.02,0.06,0.21
beignets,ベニエ,941.59,708.09,129.94,,,0.18,0.94,0.02,2.61,0.02,,0.09,0.12,,1.2,,,0.12,0.71,,41.35,800.4,27.15,32.1,29.34,30.4,71,22.01,9.42,0.16,28.4,250.9,41.5,0.7,0.84,9.9,24.43,0.06,55.07,36.05,0.06,18.49,0.38,10.12,0.01,0.02,,,0.02,0.04,0.27,3.47,85.09,1.31,0.04,1.1,0.46,23.48,16.82,56.98,0.04,36.87,9.59,1,0.85,2.65,0.82,2.94,66.27,1.27,0.07,0.01,0.13,0.2
french_fries,フライドポテト,5670,4860,972,,,,,,,,,,,,,,,0.97,4.86,,,,,,,,320,891,5.4,,,,,,3.92,,,2.03,2.7,,0.96,,,,0.16,,0.08,0.47,54,,2.03,24.3,,47.25,0.26,,,,64.8,,0.54,,43.74,5.83,5.83,13.23,1.57,14.31,,47.25,1.08,0.2,,4.19
peking_duck,北京ダック,28500,8250,270,,,,19.5,,165,,,,,,,,,0.26,8.46,,70.2,630,37.8,20.7,20.7,33.3,752,488.21,25.76,1.99,27.9,144,33.3,63.99,19.07,1.54,27,5.42,585.11,36,1.74,15.3,8.57,225,0.34,0.92,0.47,0.53,3.64,48.75,0.3,12,45,28.63,0.04,8.91,4.67,37.8,143.27,49.5,1.95,13.5,18.17,31.01,8.7,57.41,17.68,63.45,37.8,6.19,3.02,0.26,1.46,
bibimbap,ビビンバ,9967.87,6022.39,251.41,,,5.41,8.12,4.48,48.91,,,2.71,11.99,,35.98,,,0.33,6.07,,1377.28,9869.91,547.07,644.56,272.97,449.57,593,867.36,82.09,1.82,385.03,1560.97,601.72,15.82,17.41,132.96,416.25,3.69,2674.98,569.33,2.05,260.28,13.07,525.74,0.28,0.7,0.37,0.37,31.27,0.65,2.05,90.17,444.67,84.29,1.03,48.21,5.6,558.87,293.55,754.65,3.17,412.42,67.62,10.73,6.39,23.9,6.77,27.21,869.93,266.86,2.8,0.51,6.81,7.56
french_onion_sou,フレンチオニオンスープ,593.61,77.88,12.86,,0.11,0.09,2.81,0.23,3.97,0.36,,,0.53,,,,,0.02,0.07,,47.57,495.79,10.72,87.11,20.11,9.39,64,242.47,51.74,0.28,17.42,167.5,18.09,0.71,3.05,7.37,12.06,1.3,440.19,11.4,0.41,10.72,0.59,33.43,0.05,0.27,0.07,0.18,10.28,0.02,0.18,8.58,11.4,15.99,0.14,1.44,0.87,28.82,79.77,16.74,0.39,11.4,6.71,0.68,0.11,2.62,1.85,3.06,30.15,22.46,0.39,0.05,1.18,1.07
pho,フォー,251.98,69.02,3.02,,,,,,,,,,,,,,,,0.04,,,,,,,,200,210.49,17.79,0.17,,,,0.04,3.45,,,3.62,93.57,,2.3,,0.09,0.09,0.04,1.49,0.26,0.09,,,,,,10.25,0.04,0.09,0.04,,78.8,,0.04,,43.06,0.3,0.09,0.55,0.17,0.85,,18,2.13,0.09,0.3,
bread_pudding,パンプディング,3670.39,1433.52,77.71,,,9.65,12.36,0.04,94.64,0.04,,5.4,4.89,,72,,,0.15,1.54,,990,12420,570,642,312,552.01,328,143.32,53,0.64,438,2760,791.99,33.73,13.1,164.4,492,0.78,415.65,678.01,1.18,306,16.53,111.92,0.08,0.55,0.29,0.07,0.04,1.11,0.97,8.55,894,19.08,0.15,14.08,10.92,636.01,162.12,959.99,1.27,606,40.4,3.89,1.68,10.23,4.61,12.21,1152,45.21,1.44,0.13,1.11,1.39
french_toast,フレンチトースト,2970,1084,70.8,,,5.3,9.7,0.5,52.39,0.5,,2.71,3.4,,35.99,,,0.11,1.16,,600,8820,363.01,408,258,369,298,173.48,88.37,0.64,315,2280,519,25.51,10.94,110.4,318,0.81,392.59,447,1,213,9.86,84.41,0.08,0.43,0.23,0.06,0.5,0.71,0.71,5.58,747,20.38,0.15,14.42,13.48,369,150.91,660,1.06,399,38.46,3.21,1.25,9.3,4.83,10.87,792,34.6,0.9,0.11,1.03,1.38
pizza,ピザ,10059.33,3408.1,465.23,,,52,10.02,0.8,29.21,6.66,,,19.59,,17.59,,,0.5,3.56,,1424.14,19275.47,599.4,775.35,441.58,927.85,872,759.82,506.81,0.25,397.19,4168.22,877.15,5.96,39.73,237.42,670.04,10.37,2054.5,1230.56,2.05,563.78,6.06,236.92,0.45,2.81,0.65,0.5,47.7,0.4,2.66,14.33,1946.18,77.45,1.1,4.21,1.2,1479.8,826.2,1760.21,4.76,562.37,97.9,11.22,4.11,32.51,16.83,35.72,1925.39,102.35,2.81,0.45,5.21,7.26
breakfast_burrito,ブレックファストブリトー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fried_calamari,イカリング,,,,,,,,,,,,,,,,,,,,,,,,,,,58,72,6.4,1.2,,,,10,4.24,,,0.76,120,,,,1.08,1.2,0.04,,,,,,,,,,,2.4,1.6,,44,,,,8.56,,,,,0.8,,,0.16,,0.32,
pork_chop,ポークチョップ,12255.28,3944.33,338.24,,,135.01,25.99,,86.74,,,24.01,26.99,,15,,,0.38,4.25,,2716.5,28814.99,1659.45,1973.55,417.45,1300.65,487,549.47,15.4,5.8,1511.26,4451.11,1199.4,33.53,29.7,348.95,1343.85,11.15,898.77,1408.04,1.57,1296.91,7.03,28.22,1.06,0.45,0.23,0.51,4.65,0.17,1.15,10.71,1276.1,39.23,0.06,2.29,1.83,2558.71,282.56,2270.41,2.46,1107.9,10.13,13.2,4.65,31.21,13.36,34.12,2124.14,4.72,0.74,0.11,2.29,0.4
bruschetta,ブルスケッタ,4402.86,525.14,43.19,,,,,,,,,,,,,,,0.05,0.53,,85.6,2003.4,60.06,69.84,80.4,71.72,115,59.96,11,0.35,72.1,704.88,94.42,5.94,2.06,22.61,55.96,0.31,514.67,81.94,0.12,45.36,0.71,15.88,0.03,,0.01,0.02,1.84,,0.62,11.72,241.79,7.66,0.16,4.3,0.04,36.84,18.92,136.8,0.19,73.74,12.43,4.46,0.56,5.9,0.86,6.31,163.64,10.36,0.33,0.04,1.31,0.73
fried_rice,チャーハン,8032.37,5910.8,1058.4,,0.22,11.01,4.5,0.19,52.31,6.43,0.19,2.71,2.83,0.22,42.16,,,1.08,5.99,,1410.5,13808.99,779.29,1113.62,307.07,608.67,673,267.62,43.76,0.3,676.12,2261.4,767.69,13.46,15.43,190.18,552.01,1.45,1445.6,762,1.34,338.67,10.11,114.11,0.11,0.56,0.19,0.15,4.54,0.63,2.68,29.74,604.99,35.43,1,82.32,5.09,820.79,228.58,1115.4,2.38,665.22,100.05,8.37,7.14,18.96,3.49,20.97,1251.81,41.01,1.19,0.37,3.68,1.49
poutine,プーティン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caesar_salad,シーザーサラダ,9128.74,3391.04,576.5,,0.18,5.53,1,0.47,1.59,0.68,,,1.05,,,,,0.57,3.41,,146.99,2259.99,79.99,86.01,95.01,84,234,266.01,77.72,0.37,87.01,700,107,5.64,4.49,25.9,74,0.48,641.8,99,0.42,51,2.4,33.42,0.07,0.12,0.08,0.08,12.58,0.07,2.66,45.34,221.99,17.48,0.22,4.21,2.92,65,80.14,155.99,0.68,77,15.48,9.3,3.97,15.92,2.61,17.32,183,83.22,0.63,0.07,1.64,1.55
frozen_yogurt,フローズンヨーグルト,744,90,12,,,1.2,3.6,1.2,6,1.2,,,2.4,,,,,0.01,0.1,,336,4320,156,144,99.6,228,74,204,144,,86.4,864,204,3.6,4.32,56.4,180,0.12,57.6,276,0.59,120,3,39.6,0.05,0.12,0.17,0.05,1.2,,0.12,1.2,420,14.4,,4.8,20.4,348,120,420,0.48,144,5.88,0.85,0.12,3.17,2.2,3.6,396,13.2,,0.01,0.12,
prime_rib,リブロース,6900,300,81,,,3,13,9,16,2,,1,27,,,,,0.12,0.34,,,,,,,,263,310,3,,,,,,18.5,,,4.6,41,,0.79,,,10,0.07,1.2,0.15,0.34,1,0.5,0.7,5,,18,0.01,,,,160,,4.4,,0.3,7.68,0.45,16.92,8.79,19.5,,6,1.2,0.06,0.1,
cannoli,カンノーロ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garlic_bread,ガーリックトースト,1158.32,250.4,27.11,,,,5.68,,7.81,,,,,,,,,0.03,0.26,,82,1982,59.3,75.7,79.5,71.1,110,32.29,5.28,0.28,71.5,689.4,93.6,5.82,1.99,22.64,55.3,0.23,177.37,81.7,0.1,44.81,0.44,38.07,0.02,0.01,0.01,0.03,0.46,0.04,0.15,3.76,240.93,4.92,0.08,4.48,0.16,36.2,17.15,136,0.18,73.2,11.79,1.3,0.28,5.24,3.64,6.02,162.7,8.18,0.22,0.03,0.45,0.62
pulled_pork_sandwich,プルポークサンドイッチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caprese_salad,バジルサラダ,15413.3,2201.91,164.24,,,,,,,,,,,,,,,0.17,2.22,,203.08,1697.15,91.44,77.85,42.97,72.7,252,604.27,16.4,0.04,91.44,291,99.67,1.13,2.12,25.08,77.02,1.72,396.29,90.61,1.25,47.66,4.72,37.61,0.09,,0.17,0.25,17.09,,3.66,17.69,83.61,29.09,0.22,2.28,0.03,107.91,50.73,128.9,0.55,68.49,6.58,16.45,2.39,22.73,3.85,25.17,131.8,69.63,0.65,0.2,0.99,4.22
gnocchi,ニョッキ,218.55,208.3,20.25,,0.18,0.15,0.69,0.39,1.1,0.6,,,0.89,,,,,0.03,0.21,,306,3380.01,101.6,135.9,144.5,120.41,148,358.6,48.02,3.7,116.8,1041,146.3,7.81,5.08,41.3,100.4,1.3,517.1,159.5,0.54,76.3,0.63,13.2,0.09,0.07,0.06,0.16,24.5,0.01,0.4,1.65,337.8,23.42,0.16,8,0.01,107.59,74.8,219.19,0.55,131.6,27.98,0.24,0.22,1.13,0.63,1.39,273,18.45,0.63,0.12,1.31,1.62
ramen,ラーメン（醤油）,720.41,839.42,46.46,0.42,0.06,7.41,1.99,0.78,5.78,13.26,,0.18,2.65,0.24,3.13,,,0.06,0.84,,236.4,2119.52,127.57,69.9,70.2,111.66,416,623.69,73.22,1.02,93.76,484.85,112.26,42.97,20.55,5.3,90.69,7.59,4594.28,120.82,1.63,51.4,5.36,23.08,0.66,0.84,0.24,0.24,6.63,0.12,0.36,5.42,150.65,59.66,0.48,28.2,21.39,127.15,302.26,166.08,1.02,45.56,72.55,0.78,0.9,2.53,0.84,3.13,127.33,42.36,1.51,0.12,11.87,3.8
carrot_cake,キャロットケーキ,3752,3062.6,558.37,,,2.4,2.25,,22.5,,,1.35,1.2,,18,,,0.58,3.1,,277.25,3439.5,159.75,178.25,93.45,150.5,220,130.76,33.66,0.64,120.5,789.5,214.5,5.78,3.45,46.75,133.9,0.3,62.5,185.5,0.41,83.45,4.67,192.5,0.04,0.14,0.08,0.05,1,0.27,1.35,16.3,256.45,6.48,0.2,3.17,2.41,172.9,64.2,261.65,0.3,173.85,28.11,3.87,3.68,8.92,1.38,9.91,309.1,13.82,0.45,0.05,0.18,1.08
greek_salad,グリークサラダ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ravioli,ラビオリ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceviche,セビチェ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grilled_cheese_sandwich,グリルチーズサンドイッチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red_velvet_cake,レッドヴェルヴェットケーキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheesecake,チーズケーキ,4993.1,702.44,110.37,,2.25,7.01,21.02,4.65,53.42,8.4,,1.48,13.48,,22.17,,,0.17,0.79,,244.2,2689.8,131.55,149.7,57.33,126.9,315,66.82,41.26,0.29,89.85,502.8,181.8,5.96,5.44,37.8,117.06,0.1,121.7,157.2,0.43,68.28,4.43,214.19,0.04,0.23,0.15,0.02,1,0.5,0.77,9.54,168.78,6,0.04,3.79,3.84,168.96,69.38,218.76,0.49,140.49,16.96,5.71,0.95,21.11,14.43,24.36,255.24,11.41,0.42,0.01,0.34,0.18
grilled_salmon,焼き鮭,456,44.8,20.8,,28.8,11.2,5.6,28,16,216,,,58.4,7.2,384,,,0.74,0.09,,,,,,,,110,304,8,,,,,,18,,,4.8,45.6,,0.98,,,21.6,0.21,7.52,0.12,0.33,,26.4,1.04,,,24.8,0.01,,,,208,,0.4,,0.08,1.4,0.82,2.87,0.65,3.6,,10.4,0.32,0.06,0.08,
